500 249500
392 88 588
261 111 322
111 261 322
346 404 113
404 346 113
496 70 802
70 496 802
360 494 350
494 360 350
267 221 155
221 267 155
227 218 34
218 227 34
436 125 787
125 436 787
43 295 922
295 43 922
471 53 497
53 471 497
350 141 389
141 350 389
291 254 352
254 291 352
113 452 756
452 113 756
226 449 826
449 226 826
380 309 172
309 380 172
83 428 746
428 83 746
238 8 316
8 238 316
124 444 942
444 124 942
412 487 89
487 412 89
334 458 494
458 334 494
183 161 488
161 183 488
72 452 742
452 72 742
277 417 695
417 277 695
33 496 644
496 33 644
212 228 805
228 212 805
236 311 86
311 236 86
482 401 94
401 482 94
299 26 390
26 299 390
93 438 877
438 93 877
182 124 688
124 182 688
29 159 201
159 29 201
17 83 653
83 17 653
259 360 422
360 259 422
306 394 918
394 306 918
302 458 999
458 302 999
108 194 310
194 108 310
46 29 712
29 46 712
140 328 238
328 140 238
30 273 28
273 30 28
259 307 4
307 259 4
299 336 663
336 299 663
0 353 98
353 0 98
5 465 959
465 5 959
428 271 705
271 428 705
198 74 515
74 198 515
197 34 209
34 197 209
360 432 590
432 360 590
270 162 954
162 270 954
43 42 65
42 43 65
351 398 865
398 351 865
39 413 865
413 39 865
245 11 223
11 245 223
62 470 651
470 62 651
185 27 701
27 185 701
111 42 399
42 111 399
145 104 759
104 145 759
77 194 183
194 77 183
1 465 197
465 1 197
307 8 239
8 307 239
373 211 637
211 373 637
90 103 402
103 90 402
455 348 913
348 455 913
178 410 736
410 178 736
181 95 263
95 181 263
383 207 306
207 383 306
134 204 262
204 134 262
393 134 456
134 393 456
428 487 921
487 428 921
125 295 282
295 125 282
216 20 845
20 216 845
205 110 448
110 205 448
107 417 648
417 107 648
20 448 410
448 20 410
108 129 506
129 108 506
372 364 565
364 372 565
30 498 121
498 30 121
292 243 755
243 292 755
248 23 595
23 248 595
22 0 242
0 22 242
156 216 762
216 156 762
1 273 724
273 1 724
302 380 641
380 302 641
450 253 441
253 450 441
423 219 85
219 423 85
287 284 115
284 287 115
138 257 759
257 138 759
233 365 508
365 233 508
257 460 882
460 257 882
257 54 538
54 257 538
326 316 39
316 326 39
99 392 693
392 99 693
332 385 644
385 332 644
437 327 357
327 437 357
150 250 576
250 150 576
236 389 712
389 236 712
203 379 321
379 203 321
463 113 686
113 463 686
471 222 646
222 471 646
205 479 200
479 205 200
243 157 868
157 243 868
134 109 612
109 134 612
328 441 998
441 328 998
324 378 177
378 324 177
33 380 779
380 33 779
109 116 668
116 109 668
173 320 400
320 173 400
494 135 513
135 494 513
33 458 235
458 33 235
179 163 566
163 179 566
232 406 224
406 232 224
452 392 333
392 452 333
417 72 126
72 417 126
267 396 856
396 267 856
444 281 236
281 444 236
223 242 353
242 223 353
243 415 25
415 243 25
143 262 660
262 143 660
8 295 118
295 8 118
243 326 281
326 243 281
162 410 39
410 162 39
386 215 783
215 386 783
71 132 856
132 71 856
197 399 604
399 197 604
53 343 386
343 53 386
141 418 128
418 141 128
494 13 896
13 494 896
371 157 658
157 371 658
383 165 805
165 383 805
1 261 631
261 1 631
134 423 394
423 134 394
25 161 609
161 25 609
309 232 241
232 309 241
17 281 992
281 17 992
121 186 687
186 121 687
359 327 105
327 359 105
340 174 618
174 340 618
236 45 627
45 236 627
246 429 293
429 246 293
51 282 906
282 51 906
34 417 329
417 34 329
280 294 490
294 280 490
389 455 74
455 389 74
482 472 855
472 482 855
474 446 41
446 474 41
161 305 220
305 161 220
118 145 394
145 118 394
237 233 940
233 237 940
216 479 221
479 216 221
9 382 3
382 9 3
267 269 272
269 267 272
96 49 419
49 96 419
438 439 874
439 438 874
364 273 199
273 364 199
219 248 645
248 219 645
112 261 302
261 112 302
333 380 300
380 333 300
79 469 533
469 79 533
371 185 365
185 371 365
92 47 599
47 92 599
448 314 868
314 448 868
72 263 918
263 72 918
491 53 709
53 491 709
366 418 834
418 366 834
417 489 934
489 417 934
62 454 696
454 62 696
216 287 928
287 216 928
16 218 249
218 16 249
402 90 286
90 402 286
119 182 333
182 119 333
218 482 0
482 218 0
439 55 615
55 439 615
209 46 20
46 209 20
270 264 938
264 270 938
104 33 280
33 104 280
39 95 734
95 39 734
87 164 873
164 87 873
367 32 91
32 367 91
116 434 33
434 116 33
254 405 568
405 254 568
88 124 50
124 88 50
440 415 457
415 440 457
407 124 856
124 407 856
427 394 472
394 427 472
218 498 506
498 218 506
350 389 953
389 350 953
84 476 117
476 84 117
309 343 650
343 309 650
252 311 436
311 252 436
286 66 842
66 286 842
354 6 818
6 354 818
404 298 233
298 404 233
362 205 709
205 362 709
218 484 603
484 218 603
190 54 453
54 190 453
48 404 843
404 48 843
2 340 171
340 2 171
119 1 15
1 119 15
269 254 678
254 269 678
206 40 744
40 206 744
400 394 602
394 400 602
218 150 900
150 218 900
303 364 957
364 303 957
12 434 794
434 12 794
467 477 348
477 467 348
420 25 605
25 420 605
263 27 297
27 263 297
287 147 299
147 287 299
154 268 53
268 154 53
332 326 945
326 332 945
429 226 191
226 429 191
31 296 841
296 31 841
284 451 58
451 284 58
93 463 992
463 93 992
387 430 821
430 387 821
88 203 347
203 88 347
45 318 226
318 45 226
342 105 225
105 342 225
493 259 994
259 493 994
46 92 672
92 46 672
251 34 256
34 251 256
399 376 540
376 399 540
351 286 134
286 351 134
166 130 873
130 166 873
449 452 961
452 449 961
152 151 358
151 152 358
322 377 701
377 322 701
428 103 694
103 428 694
187 449 93
449 187 93
131 121 436
121 131 436
356 224 971
224 356 971
113 124 699
124 113 699
5 475 485
475 5 485
139 493 615
493 139 615
365 442 919
442 365 919
326 446 570
446 326 570
37 269 448
269 37 448
238 197 903
197 238 903
284 236 352
236 284 352
229 220 825
220 229 825
166 76 50
76 166 50
489 41 674
41 489 674
40 47 501
47 40 501
377 186 846
186 377 846
344 403 789
403 344 789
264 82 87
82 264 87
334 119 856
119 334 856
134 357 905
357 134 905
389 493 994
493 389 994
241 223 214
223 241 214
419 241 142
241 419 142
469 82 684
82 469 684
495 122 731
122 495 731
348 499 769
499 348 769
194 195 25
195 194 25
335 459 107
459 335 107
423 146 726
146 423 726
131 132 583
132 131 583
37 22 428
22 37 428
383 263 651
263 383 651
97 34 744
34 97 744
91 355 326
355 91 326
127 202 800
202 127 800
210 50 651
50 210 651
332 97 847
97 332 847
357 284 306
284 357 306
464 59 304
59 464 304
190 191 937
191 190 937
125 80 459
80 125 459
53 463 574
463 53 574
57 412 461
412 57 461
301 3 816
3 301 816
480 483 19
483 480 19
280 193 921
193 280 921
284 25 18
25 284 18
131 382 155
382 131 155
289 346 714
346 289 714
94 36 257
36 94 257
383 161 337
161 383 337
194 67 652
67 194 652
268 124 64
124 268 64
229 425 420
425 229 420
398 257 403
257 398 403
417 390 448
390 417 448
338 174 974
174 338 974
209 305 356
305 209 356
364 446 55
446 364 55
430 392 443
392 430 443
188 275 105
275 188 105
25 469 172
469 25 172
178 90 648
90 178 648
94 171 925
171 94 925
366 69 683
69 366 683
121 486 73
486 121 73
70 177 747
177 70 747
396 386 904
386 396 904
104 102 850
102 104 850
159 32 243
32 159 243
103 220 370
220 103 370
60 98 340
98 60 340
84 128 430
128 84 430
232 222 101
222 232 101
157 441 523
441 157 523
192 62 9
62 192 9
265 484 186
484 265 186
364 232 424
232 364 424
268 337 878
337 268 878
471 348 911
348 471 911
214 451 131
451 214 131
84 363 581
363 84 581
276 299 209
299 276 209
58 31 784
31 58 784
12 41 725
41 12 725
35 233 139
233 35 139
44 499 476
499 44 476
83 363 708
363 83 708
359 484 545
484 359 545
238 455 394
455 238 394
149 21 697
21 149 697
132 457 913
457 132 913
214 234 212
234 214 212
275 144 244
144 275 244
59 156 637
156 59 637
284 191 370
191 284 370
276 88 221
88 276 221
252 171 937
171 252 937
460 382 421
382 460 421
358 120 228
120 358 228
252 121 249
121 252 249
301 106 558
106 301 558
214 172 144
172 214 144
279 447 789
447 279 789
375 7 945
7 375 945
12 143 137
143 12 137
234 419 77
419 234 77
456 23 600
23 456 600
245 484 482
484 245 482
18 342 955
342 18 955
246 446 576
446 246 576
347 99 534
99 347 534
257 166 706
166 257 706
402 445 6
445 402 6
191 320 865
320 191 865
488 332 360
332 488 360
125 418 632
418 125 632
202 226 155
226 202 155
154 471 991
471 154 991
137 341 333
341 137 333
92 439 631
439 92 631
20 286 583
286 20 583
407 396 749
396 407 749
113 298 694
298 113 694
471 341 366
341 471 366
336 329 50
329 336 50
49 307 468
307 49 468
181 361 195
361 181 195
336 16 518
16 336 518
328 153 860
153 328 860
13 97 799
97 13 799
497 469 938
469 497 938
80 376 834
376 80 834
329 490 632
490 329 632
375 313 473
313 375 473
241 2 654
2 241 654
291 51 961
51 291 961
259 232 823
232 259 823
306 68 839
68 306 839
325 248 492
248 325 492
185 262 441
262 185 441
484 259 910
259 484 910
274 191 787
191 274 787
108 20 129
20 108 129
92 247 942
247 92 942
417 488 444
488 417 444
72 279 995
279 72 995
33 390 227
390 33 227
356 197 648
197 356 648
195 22 896
22 195 896
39 59 10
59 39 10
480 395 621
395 480 621
243 170 312
170 243 312
30 278 184
278 30 184
159 371 931
371 159 931
453 288 919
288 453 919
398 360 550
360 398 550
245 394 941
394 245 941
325 250 990
250 325 990
473 298 864
298 473 864
221 337 423
337 221 423
84 170 818
170 84 818
205 413 988
413 205 988
370 443 119
443 370 119
54 454 842
454 54 842
486 407 630
407 486 630
257 157 843
157 257 843
308 403 89
403 308 89
101 80 191
80 101 191
443 405 989
405 443 989
307 126 679
126 307 679
82 210 349
210 82 349
400 268 614
268 400 614
241 138 909
138 241 909
212 192 715
192 212 715
54 30 974
30 54 974
36 288 132
288 36 132
379 448 887
448 379 887
320 49 467
49 320 467
12 492 872
492 12 872
1 151 350
151 1 350
32 233 913
233 32 913
233 485 181
485 233 181
347 226 171
226 347 171
108 290 715
290 108 715
323 344 746
344 323 746
298 381 534
381 298 534
282 112 334
112 282 334
21 433 383
433 21 383
488 297 727
297 488 727
212 150 878
150 212 878
414 183 611
183 414 611
327 416 96
416 327 96
360 116 675
116 360 675
383 76 465
76 383 465
99 400 662
400 99 662
345 50 543
50 345 543
231 184 7
184 231 7
65 205 792
205 65 792
300 45 89
45 300 89
27 257 240
257 27 240
257 171 923
171 257 923
368 351 191
351 368 191
316 63 659
63 316 659
491 447 236
447 491 236
309 46 988
46 309 988
471 243 890
243 471 890
366 326 74
326 366 74
373 243 779
243 373 779
166 43 824
43 166 824
107 422 433
422 107 433
347 31 956
31 347 956
122 399 659
399 122 659
166 67 723
67 166 723
325 59 670
59 325 670
413 368 568
368 413 568
253 191 163
191 253 163
495 57 989
57 495 989
69 430 84
430 69 84
200 448 479
448 200 479
376 56 901
56 376 901
161 255 932
255 161 932
118 378 183
378 118 183
277 396 750
396 277 750
352 221 661
221 352 661
22 487 381
487 22 381
442 92 572
92 442 572
105 88 129
88 105 129
94 157 412
157 94 412
178 210 212
210 178 212
157 438 620
438 157 620
410 100 876
100 410 876
194 218 606
218 194 606
229 347 2
347 229 2
332 200 75
200 332 75
493 74 414
74 493 414
375 17 7
17 375 7
299 122 95
122 299 95
281 69 104
69 281 104
193 99 166
99 193 166
257 109 105
109 257 105
378 371 705
371 378 705
106 66 923
66 106 923
212 147 122
147 212 122
66 479 322
479 66 322
493 473 897
473 493 897
408 200 766
200 408 766
267 351 388
351 267 388
214 132 809
132 214 809
318 177 409
177 318 409
337 435 370
435 337 370
442 313 241
313 442 241
147 419 659
419 147 659
422 483 807
483 422 807
44 401 786
401 44 786
219 394 611
394 219 611
468 154 663
154 468 663
234 273 515
273 234 515
122 487 647
487 122 647
284 306 177
306 284 177
45 495 612
495 45 612
415 437 277
437 415 277
8 436 48
436 8 48
20 358 531
358 20 531
327 254 784
254 327 784
465 325 530
325 465 530
429 293 185
293 429 185
92 27 458
27 92 458
459 2 446
2 459 446
459 286 604
286 459 604
136 183 451
183 136 451
248 98 388
98 248 388
377 458 824
458 377 824
425 478 34
478 425 34
308 157 140
157 308 140
92 475 466
475 92 466
122 256 259
256 122 259
159 200 639
200 159 639
118 160 641
160 118 641
416 119 779
119 416 779
372 107 462
107 372 462
323 207 412
207 323 412
63 84 870
84 63 870
239 9 849
9 239 849
273 317 858
317 273 858
265 409 333
409 265 333
231 383 589
383 231 589
343 43 290
43 343 290
482 13 302
13 482 302
123 429 273
429 123 273
402 153 380
153 402 380
364 328 587
328 364 587
276 391 171
391 276 171
498 130 532
130 498 532
199 255 201
255 199 201
58 20 610
20 58 610
243 104 345
104 243 345
185 447 888
447 185 888
475 429 401
429 475 401
129 404 682
404 129 682
402 306 687
306 402 687
282 22 515
22 282 515
221 150 258
150 221 258
392 148 740
148 392 740
276 348 995
348 276 995
477 258 868
258 477 868
439 1 472
1 439 472
284 186 419
186 284 419
25 13 700
13 25 700
426 142 604
142 426 604
461 44 262
44 461 262
148 178 136
178 148 136
16 399 286
399 16 286
274 143 286
143 274 286
15 419 986
419 15 986
362 248 244
248 362 244
82 187 746
187 82 746
54 324 784
324 54 784
325 349 298
349 325 298
25 275 292
275 25 292
481 88 689
88 481 689
243 237 219
237 243 219
379 253 119
253 379 119
17 379 614
379 17 614
304 246 886
246 304 886
290 109 134
109 290 134
35 191 674
191 35 674
133 98 498
98 133 498
269 423 847
423 269 847
419 301 474
301 419 474
212 282 63
282 212 63
253 378 652
378 253 652
472 257 405
257 472 405
443 127 636
127 443 636
58 431 383
431 58 383
444 73 344
73 444 344
78 108 387
108 78 387
252 93 985
93 252 985
102 215 261
215 102 261
449 134 914
134 449 914
276 198 196
198 276 196
191 451 426
451 191 426
343 424 684
424 343 684
100 367 663
367 100 663
236 277 594
277 236 594
471 221 167
221 471 167
315 152 628
152 315 628
55 256 73
256 55 73
40 359 288
359 40 288
153 160 923
160 153 923
67 436 973
436 67 973
116 479 425
479 116 425
42 322 201
322 42 201
78 274 420
274 78 420
241 363 698
363 241 698
187 334 271
334 187 271
355 2 923
2 355 923
335 57 680
57 335 680
408 449 391
449 408 391
49 455 551
455 49 551
324 374 340
374 324 340
297 490 819
490 297 819
222 385 994
385 222 994
275 315 268
315 275 268
196 57 983
57 196 983
246 244 818
244 246 818
17 451 172
451 17 172
293 138 81
138 293 81
473 399 882
399 473 882
216 448 837
448 216 837
267 272 212
272 267 212
107 421 554
421 107 554
427 496 939
496 427 939
421 271 755
271 421 755
41 319 664
319 41 664
25 65 260
65 25 260
195 83 64
83 195 64
367 228 702
228 367 702
300 53 601
53 300 601
182 269 49
269 182 49
372 36 673
36 372 673
84 496 95
496 84 95
490 275 91
275 490 91
430 48 214
48 430 214
37 89 534
89 37 534
53 114 99
114 53 99
313 161 534
161 313 534
377 28 762
28 377 762
432 180 815
180 432 815
385 363 84
363 385 84
435 235 473
235 435 473
460 171 969
171 460 969
407 161 744
161 407 744
498 443 144
443 498 144
213 332 733
332 213 733
247 385 200
385 247 200
198 199 361
199 198 361
233 428 742
428 233 742
347 212 422
212 347 422
163 98 637
98 163 637
99 385 224
385 99 224
72 345 395
345 72 395
393 253 409
253 393 409
489 103 852
103 489 852
133 168 185
168 133 185
367 267 70
267 367 70
67 466 121
466 67 121
280 51 402
51 280 402
22 398 614
398 22 614
297 61 64
61 297 64
434 13 449
13 434 449
11 85 147
85 11 147
406 479 900
479 406 900
167 320 855
320 167 855
20 454 876
454 20 876
57 321 143
321 57 143
479 240 461
240 479 461
453 372 12
372 453 12
207 395 263
395 207 263
321 44 676
44 321 676
238 478 689
478 238 689
187 489 127
489 187 127
334 248 958
248 334 958
86 415 278
415 86 278
294 287 232
287 294 232
170 196 905
196 170 905
165 28 497
28 165 497
127 481 370
481 127 370
491 40 617
40 491 617
254 213 661
213 254 661
283 451 491
451 283 491
472 139 333
139 472 333
451 325 581
325 451 581
409 412 348
412 409 348
188 206 488
206 188 488
420 376 536
376 420 536
178 393 564
393 178 564
175 20 397
20 175 397
45 364 437
364 45 437
162 470 651
470 162 651
323 253 454
253 323 454
315 78 593
78 315 593
148 29 919
29 148 919
81 439 683
439 81 683
281 479 389
479 281 389
121 251 617
251 121 617
158 429 510
429 158 510
74 105 883
105 74 883
472 150 747
150 472 747
261 313 717
313 261 717
264 488 471
488 264 471
219 155 401
155 219 401
164 303 930
303 164 930
83 236 721
236 83 721
118 18 700
18 118 700
7 139 452
139 7 452
476 149 233
149 476 233
339 224 838
224 339 838
222 196 989
196 222 989
469 309 654
309 469 654
38 74 142
74 38 142
361 145 298
145 361 298
262 309 453
309 262 453
45 393 542
393 45 542
266 11 560
11 266 560
319 371 51
371 319 51
123 199 201
199 123 201
356 38 277
38 356 277
195 112 973
112 195 973
36 433 134
433 36 134
42 472 708
472 42 708
36 333 853
333 36 853
334 96 163
96 334 163
140 493 908
493 140 908
182 259 771
259 182 771
94 430 494
430 94 494
497 53 694
53 497 694
50 262 584
262 50 584
327 457 697
457 327 697
152 345 130
345 152 130
287 387 954
387 287 954
347 423 640
423 347 640
201 110 588
110 201 588
216 102 81
102 216 81
340 99 730
99 340 730
123 446 79
446 123 79
176 492 630
492 176 630
290 76 809
76 290 809
247 125 962
125 247 962
444 108 249
108 444 249
331 62 596
62 331 596
107 202 149
202 107 149
69 290 217
290 69 217
171 371 545
371 171 545
307 64 997
64 307 997
389 187 943
187 389 943
468 215 935
215 468 935
450 6 511
6 450 511
260 105 489
105 260 489
222 50 597
50 222 597
323 233 659
233 323 659
271 192 714
192 271 714
273 261 4
261 273 4
490 432 728
432 490 728
388 239 292
239 388 292
385 480 831
480 385 831
180 449 546
449 180 546
115 399 52
399 115 52
478 11 158
11 478 158
467 233 560
233 467 560
64 408 145
408 64 145
76 180 838
180 76 838
290 453 599
453 290 599
294 295 884
295 294 884
22 183 475
183 22 475
166 420 456
420 166 456
497 100 905
100 497 905
396 215 156
215 396 156
448 46 668
46 448 668
458 13 753
13 458 753
370 430 662
430 370 662
16 6 342
6 16 342
354 296 647
296 354 647
305 442 442
442 305 442
189 317 626
317 189 626
165 335 546
335 165 546
121 333 499
333 121 499
378 81 66
81 378 66
386 29 112
29 386 112
54 340 478
340 54 478
160 210 408
210 160 408
174 78 266
78 174 266
16 284 414
284 16 414
163 90 856
90 163 856
457 279 25
279 457 25
83 296 861
296 83 861
482 417 546
417 482 546
333 147 627
147 333 627
399 34 508
34 399 508
12 440 700
440 12 700
490 100 411
100 490 411
250 274 841
274 250 841
16 142 126
142 16 126
282 157 216
157 282 216
138 115 347
115 138 347
16 50 644
50 16 644
377 384 913
384 377 913
275 217 61
217 275 61
402 117 595
117 402 595
262 481 535
481 262 535
463 323 988
323 463 988
226 73 614
73 226 614
67 441 757
441 67 757
45 223 766
223 45 766
261 213 733
213 261 733
461 229 284
229 461 284
105 458 668
458 105 668
18 233 386
233 18 386
431 135 855
135 431 855
26 250 836
250 26 836
414 213 159
213 414 159
402 439 584
439 402 584
16 358 377
358 16 377
125 404 952
404 125 952
244 17 165
17 244 165
477 478 747
478 477 747
261 435 205
435 261 205
282 306 439
306 282 439
20 237 426
237 20 426
375 116 676
116 375 676
63 30 241
30 63 241
74 284 180
284 74 180
158 152 391
152 158 391
35 278 295
278 35 295
339 374 164
374 339 164
4 351 643
351 4 643
251 465 78
465 251 78
309 247 736
247 309 736
248 267 974
267 248 974
26 494 90
494 26 90
203 57 972
57 203 972
444 131 256
131 444 256
477 141 908
141 477 908
220 28 38
28 220 38
412 31 371
31 412 371
264 174 475
174 264 475
229 105 784
105 229 784
328 341 884
341 328 884
447 167 410
167 447 410
441 109 965
109 441 965
350 81 762
81 350 762
481 337 739
337 481 739
474 98 811
98 474 811
2 136 178
136 2 178
369 49 709
49 369 709
92 165 236
165 92 236
419 246 193
246 419 193
55 74 886
74 55 886
291 21 554
21 291 554
202 314 663
314 202 663
19 164 745
164 19 745
281 497 434
497 281 434
372 471 32
471 372 32
183 473 669
473 183 669
361 194 70
194 361 70
71 138 235
138 71 235
159 58 833
58 159 833
352 465 407
465 352 407
238 257 280
257 238 280
144 311 946
311 144 946
308 330 610
330 308 610
405 112 459
112 405 459
339 336 430
336 339 430
372 20 755
20 372 755
393 381 801
381 393 801
463 304 939
304 463 939
50 463 349
463 50 349
235 167 815
167 235 815
494 406 924
406 494 924
126 50 735
50 126 735
72 210 565
210 72 565
34 115 529
115 34 529
493 307 366
307 493 366
275 31 238
31 275 238
30 424 971
424 30 971
183 239 276
239 183 276
474 141 91
141 474 91
324 376 611
376 324 611
491 222 369
222 491 369
267 348 271
348 267 271
2 420 982
420 2 982
419 454 949
454 419 949
301 447 256
447 301 256
19 222 639
222 19 639
257 104 63
104 257 63
228 287 654
287 228 654
356 261 647
261 356 647
300 437 875
437 300 875
263 280 97
280 263 97
132 47 945
47 132 945
403 49 365
49 403 365
237 321 671
321 237 671
39 122 618
122 39 618
147 493 692
493 147 692
287 250 296
250 287 296
202 330 935
330 202 935
357 39 549
